experiment_name,n_protein,cytokine_protein,af2_best_pdb_path,af2_prodigy_deltaG_kcalpermol,af2_prodigy_dissociation_constant_M,af2_foldx_dG
BANAL-20-52-N_CXCL16,BANAL-20-52-N,CXCL16,./best_AF2_and_GDock/BANAL-20-52-N_CXCL16_relaxed_model_1_multimer_v3_pred_3.pdb,-10.2,3.40E-08,-1.94318
SARS-CoV-2-WA1-N_CCL2,SARS-CoV-2-WA1-N,CCL2,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL2_relaxed_model_4_multimer_v3_pred_2.pdb,-11.1,7.10E-09,-7.5341
SARS-CoV-2-XBB-N_IL-6Ralpha,SARS-CoV-2-XBB-N,IL-6Ralpha,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_IL-6Ralpha_relaxed_model_4_multimer_v3_pred_0.pdb,-17.2,2.50E-13,-10.0468
SARS-CoV-2-B.1.1.529-N_CCL22,SARS-CoV-2-B.1.1.529-N,CCL22,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL22_relaxed_model_3_multimer_v3_pred_2.pdb,-10.3,2.60E-08,-6.46758
SARS-CoV-2-B.1.617.2-DeltaA-N_IL-18BP,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-18BP_relaxed_model_3_multimer_v3_pred_4.pdb,-12.2,1.10E-09,-7.50532
SARS-CoV-2-BA.4-N_CCL15,SARS-CoV-2-BA.4-N,CCL15,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL15_relaxed_model_1_multimer_v3_pred_3.pdb,-13.1,2.50E-10,2.75889
RaTG13-N_TNFalpha,RaTG13-N,TNFalpha,./best_AF2_and_GDock/RaTG13-N_TNFalpha_relaxed_model_4_multimer_v3_pred_3.pdb,-12.8,4.20E-10,-7.99174
SARS-CoV-2-B.1.1-N_CXCL5,SARS-CoV-2-B.1.1-N,CXCL5,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL5_relaxed_model_3_multimer_v3_pred_0.pdb,-10.1,4.10E-08,-5.28297
SARS-CoV-2-BA.1.1-N_CCL14,SARS-CoV-2-BA.1.1-N,CCL14,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL14_relaxed_model_3_multimer_v3_pred_4.pdb,-11.5,3.60E-09,5.08045
SARS-CoV-2-B.1.1.7-N_CCL1,SARS-CoV-2-B.1.1.7-N,CCL1,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL1_relaxed_model_3_multimer_v3_pred_4.pdb,-14.7,1.60E-11,2.19624
SARS-CoV-2-BA.2-N_IL-6,SARS-CoV-2-BA.2-N,IL-6,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_IL-6_relaxed_model_2_multimer_v3_pred_1.pdb,-10.1,4.00E-08,-5.9295
SARS-CoV-2-B.1.1.7-N_CCL14,SARS-CoV-2-B.1.1.7-N,CCL14,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL14_relaxed_model_3_multimer_v3_pred_4.pdb,-10.2,3.30E-08,2.97318
SARS-CoV-2-BA.4-N_IL-1alpha,SARS-CoV-2-BA.4-N,IL-1alpha,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_IL-1alpha_relaxed_model_2_multimer_v3_pred_0.pdb,-13.3,1.60E-10,-5.01312
SARS-CoV-2-B.1.1-N_IL-6,SARS-CoV-2-B.1.1-N,IL-6,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IL-6_relaxed_model_2_multimer_v3_pred_3.pdb,-12.7,4.60E-10,-4.26732
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL8,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL8,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL8_relaxed_model_4_multimer_v3_pred_2.pdb,-10,4.40E-08,2.48395
RaTG13-N_CXCL12alpha,RaTG13-N,CXCL12alpha,./best_AF2_and_GDock/RaTG13-N_CXCL12alpha_relaxed_model_4_multimer_v3_pred_1.pdb,-8.6,5.20E-07,-3.17766
SARS-CoV-2-B.1.1.7-N_CCL4,SARS-CoV-2-B.1.1.7-N,CCL4,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL4_relaxed_model_4_multimer_v3_pred_4.pdb,-12.1,1.30E-09,-20.4597
SARS-CoV-2-B.1.351-N_CCL3,SARS-CoV-2-B.1.351-N,CCL3,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL3_relaxed_model_4_multimer_v3_pred_0.pdb,-13.4,1.40E-10,-17.7837
SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL3,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL3,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL3_relaxed_model_4_multimer_v3_pred_2.pdb,-12,1.60E-09,-4.59903
SARS-CoV-N_CCL23,SARS-CoV-N,CCL23,./best_AF2_and_GDock/SARS-CoV-N_CCL23_relaxed_model_4_multimer_v3_pred_0.pdb,-16.5,8.20E-13,-6.60308
MERS-CoV-N_CCL8,MERS-CoV-N,CCL8,./best_AF2_and_GDock/MERS-CoV-N_CCL8_relaxed_model_1_multimer_v3_pred_1.pdb,-17.8,9.20E-14,-0.460524
SARS-CoV-2-B.1.1.7-N_CCL24,SARS-CoV-2-B.1.1.7-N,CCL24,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL24_relaxed_model_3_multimer_v3_pred_4.pdb,-15.1,8.70E-12,13.5767
SARS-CoV-2-P.1-N_CXCL7,SARS-CoV-2-P.1-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CXCL7_relaxed_model_4_multimer_v3_pred_4.pdb,-10,4.40E-08,-8.37114
SARS-CoV-2-BA.2-N_CX3CL1,SARS-CoV-2-BA.2-N,CX3CL1,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CX3CL1_relaxed_model_5_multimer_v3_pred_3.pdb,-14.3,3.40E-11,-8.39282
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL27,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL27,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL27_relaxed_model_2_multimer_v3_pred_1.pdb,-11.4,4.60E-09,13.8438
SARS-CoV-2-BA.4-N_CXCL12alpha,SARS-CoV-2-BA.4-N,CXCL12alpha,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CXCL12alpha_relaxed_model_4_multimer_v3_pred_1.pdb,-11,8.50E-09,-1.93163
BANAL-20-52-N_CCL3L1,BANAL-20-52-N,CCL3L1,./best_AF2_and_GDock/BANAL-20-52-N_CCL3L1_relaxed_model_4_multimer_v3_pred_3.pdb,-15.5,4.50E-12,-21.3341
SARS-CoV-2-P.1-N_IL-35,SARS-CoV-2-P.1-N,IL-35,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IL-35_relaxed_model_1_multimer_v3_pred_1.pdb,-19.6,3.90E-15,-27.5616
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL22,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL22,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL22_relaxed_model_4_multimer_v3_pred_4.pdb,-12.8,4.10E-10,20.0696
SARS-CoV-2-B.1.1-N_CCL8,SARS-CoV-2-B.1.1-N,CCL8,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL8_relaxed_model_2_multimer_v3_pred_4.pdb,-9.9,5.60E-08,-1.46163
RaTG13-N_CXCL16,RaTG13-N,CXCL16,./best_AF2_and_GDock/RaTG13-N_CXCL16_relaxed_model_2_multimer_v3_pred_4.pdb,-15.1,7.90E-12,7.4074
SARS-CoV-2-XBB-N_IL-13,SARS-CoV-2-XBB-N,IL-13,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_IL-13_relaxed_model_3_multimer_v3_pred_4.pdb,-11.5,3.50E-09,24.7939
SARS-CoV-2-P.1-N_CCL26,SARS-CoV-2-P.1-N,CCL26,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL26_relaxed_model_2_multimer_v3_pred_2.pdb,-10.2,3.10E-08,9.75547
SARS-CoV-2-B.1.1.7-N_CXCL16,SARS-CoV-2-B.1.1.7-N,CXCL16,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CXCL16_relaxed_model_3_multimer_v3_pred_4.pdb,-21.3,2.40E-16,1.15529
SARS-CoV-2-BQ.1-N_IL-23,SARS-CoV-2-BQ.1-N,IL-23,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_IL-23_relaxed_model_3_multimer_v3_pred_4.pdb,-23.2,9.70E-18,-3.13059
RaTG13-N_CCL13,RaTG13-N,CCL13,./best_AF2_and_GDock/RaTG13-N_CCL13_relaxed_model_4_multimer_v3_pred_4.pdb,-9.7,7.60E-08,-8.09394
SARS-CoV-2-B.1.351-N_CCL4,SARS-CoV-2-B.1.351-N,CCL4,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL4_relaxed_model_4_multimer_v3_pred_4.pdb,-11.6,3.30E-09,-19.3265
SARS-CoV-2-B.1.1.7-N_CXCL5,SARS-CoV-2-B.1.1.7-N,CXCL5,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CXCL5_relaxed_model_1_multimer_v3_pred_4.pdb,-9.8,6.70E-08,-13.8818
BANAL-20-52-N_IL-12p70,BANAL-20-52-N,IL-12p70,./best_AF2_and_GDock/BANAL-20-52-N_IL-12p70_relaxed_model_1_multimer_v3_pred_1.pdb,-19.4,5.90E-15,-2.3523
SARS-CoV-2-WA1-N_CXCL10,SARS-CoV-2-WA1-N,CXCL10,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CXCL10_relaxed_model_1_multimer_v3_pred_3.pdb,-23.7,4.50E-18,1.82139
RaTG13-N_IL-35,RaTG13-N,IL-35,./best_AF2_and_GDock/RaTG13-N_IL-35_relaxed_model_1_multimer_v3_pred_4.pdb,-15.8,2.70E-12,-26.2178
BANAL-20-52-N_CXCL14,BANAL-20-52-N,CXCL14,./best_AF2_and_GDock/BANAL-20-52-N_CXCL14_relaxed_model_3_multimer_v3_pred_1.pdb,-12.3,1.00E-09,-1.24834
OC43-N_CCL22,OC43-N,CCL22,./best_AF2_and_GDock/OC43-N_CCL22_relaxed_model_2_multimer_v3_pred_2.pdb,-14.9,1.10E-11,-15.973
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL26,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL26,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL26_relaxed_model_3_multimer_v3_pred_0.pdb,-17,3.50E-13,2.14516
SARS-CoV-2-B.1.1.529-N_CCL5,SARS-CoV-2-B.1.1.529-N,CCL5,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL5_relaxed_model_4_multimer_v3_pred_3.pdb,-11.5,3.80E-09,-8.99837
SARS-CoV-2-B.1.1.7-N_CCL22,SARS-CoV-2-B.1.1.7-N,CCL22,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL22_relaxed_model_1_multimer_v3_pred_1.pdb,-11.5,3.70E-09,-7.21202
SARS-CoV-2-B.1.1.7-N_CCL13,SARS-CoV-2-B.1.1.7-N,CCL13,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL13_relaxed_model_4_multimer_v3_pred_2.pdb,-9.8,6.40E-08,-6.37866
SARS-CoV-2-WA1-N_XCL1,SARS-CoV-2-WA1-N,XCL1,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_XCL1_relaxed_model_3_multimer_v3_pred_3.pdb,-11.9,1.90E-09,14.5167
SARS-CoV-2-BQ.1-N_IL-18BP,SARS-CoV-2-BQ.1-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_IL-18BP_relaxed_model_3_multimer_v3_pred_0.pdb,-14.8,1.40E-11,-11.1198
OC43-N_CCL4,OC43-N,CCL4,./best_AF2_and_GDock/OC43-N_CCL4_relaxed_model_2_multimer_v3_pred_0.pdb,-12.3,1.00E-09,-5.93115
OC43-N_CCL11,OC43-N,CCL11,./best_AF2_and_GDock/OC43-N_CCL11_relaxed_model_2_multimer_v3_pred_0.pdb,-8.4,7.20E-07,-8.7193
SARS-CoV-2-B.1.1.7-N_CCL27,SARS-CoV-2-B.1.1.7-N,CCL27,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL27_relaxed_model_2_multimer_v3_pred_0.pdb,-14.6,1.90E-11,-15.1512
SARS-CoV-2-B.1.1.7-N_CXCL7,SARS-CoV-2-B.1.1.7-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CXCL7_relaxed_model_5_multimer_v3_pred_2.pdb,-9.5,1.00E-07,-4.78253
SARS-CoV-2-WA1-N_IL-23,SARS-CoV-2-WA1-N,IL-23,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IL-23_relaxed_model_1_multimer_v3_pred_3.pdb,-29.4,2.70E-22,-8.26782
MERS-CoV-N_CCL3,MERS-CoV-N,CCL3,./best_AF2_and_GDock/MERS-CoV-N_CCL3_relaxed_model_4_multimer_v3_pred_3.pdb,-15.8,2.40E-12,5.49536
SARS-CoV-2-BQ.1-N_IL-10,SARS-CoV-2-BQ.1-N,IL-10,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_IL-10_relaxed_model_3_multimer_v3_pred_4.pdb,-20.6,7.90E-16,21.1855
MERS-CoV-N_CCL5,MERS-CoV-N,CCL5,./best_AF2_and_GDock/MERS-CoV-N_CCL5_relaxed_model_1_multimer_v3_pred_3.pdb,-8.9,2.80E-07,-7.0219
SARS-CoV-2-BA.2-N_IL-18BP,SARS-CoV-2-BA.2-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_IL-18BP_relaxed_model_3_multimer_v3_pred_3.pdb,-14.2,3.60E-11,-12.2701
SARS-CoV-2-BA.4-N_XCL1,SARS-CoV-2-BA.4-N,XCL1,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_XCL1_relaxed_model_1_multimer_v3_pred_3.pdb,-10.3,3.00E-08,17.5676
SARS-CoV-2-P.1-N_CXCL8,SARS-CoV-2-P.1-N,CXCL8,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CXCL8_relaxed_model_2_multimer_v3_pred_1.pdb,-12.9,3.50E-10,-3.50384
SARS-CoV-2-BA.4-N_CCL11,SARS-CoV-2-BA.4-N,CCL11,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL11_relaxed_model_3_multimer_v3_pred_0.pdb,-13.8,7.00E-11,-5.50348
MERS-CoV-N_TNFbeta,MERS-CoV-N,TNFbeta,./best_AF2_and_GDock/MERS-CoV-N_TNFbeta_relaxed_model_4_multimer_v3_pred_2.pdb,-12.5,6.80E-10,0.850763
SARS-CoV-2-B.1.1.529-N_IL-6Ralpha,SARS-CoV-2-B.1.1.529-N,IL-6Ralpha,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IL-6Ralpha_relaxed_model_4_multimer_v3_pred_1.pdb,-17.1,3.00E-13,-11.0043
SARS-CoV-2-BQ.1-N_CXCL16,SARS-CoV-2-BQ.1-N,CXCL16,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CXCL16_relaxed_model_3_multimer_v3_pred_4.pdb,-16.8,5.00E-13,-4.34227
BANAL-20-52-N_CCL20,BANAL-20-52-N,CCL20,./best_AF2_and_GDock/BANAL-20-52-N_CCL20_relaxed_model_4_multimer_v3_pred_2.pdb,-13.5,1.30E-10,-18.0373
BANAL-20-52-N_CXCL9,BANAL-20-52-N,CXCL9,./best_AF2_and_GDock/BANAL-20-52-N_CXCL9_relaxed_model_3_multimer_v3_pred_2.pdb,-9.4,1.30E-07,9.46734
SARS-CoV-2-B.1.1.529-N_CCL2,SARS-CoV-2-B.1.1.529-N,CCL2,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL2_relaxed_model_1_multimer_v3_pred_4.pdb,-9.6,8.80E-08,-11.2004
SARS-CoV-2-B.1.1-N_CXCL6,SARS-CoV-2-B.1.1-N,CXCL6,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL6_relaxed_model_3_multimer_v3_pred_0.pdb,-9.1,2.10E-07,-8.72454
BANAL-20-52-N_CXCL1,BANAL-20-52-N,CXCL1,./best_AF2_and_GDock/BANAL-20-52-N_CXCL1_relaxed_model_3_multimer_v3_pred_1.pdb,-8.9,3.00E-07,-11.2625
SARS-CoV-2-P.1-N_CCL8,SARS-CoV-2-P.1-N,CCL8,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL8_relaxed_model_4_multimer_v3_pred_4.pdb,-10.3,2.70E-08,5.91979
SARS-CoV-2-B.1.1-N_CXCL9,SARS-CoV-2-B.1.1-N,CXCL9,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL9_relaxed_model_3_multimer_v3_pred_2.pdb,-9,2.70E-07,-1.81538
SARS-CoV-2-BA.2-N_CXCL1,SARS-CoV-2-BA.2-N,CXCL1,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CXCL1_relaxed_model_3_multimer_v3_pred_0.pdb,-10.7,1.30E-08,-12.6631
BANAL-20-52-N_IFNlambda1,BANAL-20-52-N,IFNlambda1,./best_AF2_and_GDock/BANAL-20-52-N_IFNlambda1_relaxed_model_3_multimer_v3_pred_1.pdb,-12.6,5.40E-10,-11.3135
SARS-CoV-2-BA.2-N_CCL20,SARS-CoV-2-BA.2-N,CCL20,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL20_relaxed_model_5_multimer_v3_pred_2.pdb,-11.9,1.80E-09,-8.40211
SARS-CoV-2-B.1.351-N_CXCL4,SARS-CoV-2-B.1.351-N,CXCL4,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CXCL4_relaxed_model_3_multimer_v3_pred_4.pdb,-10.5,1.90E-08,-11.8149
SARS-CoV-2-BA.2-N_IL-13,SARS-CoV-2-BA.2-N,IL-13,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_IL-13_relaxed_model_4_multimer_v3_pred_0.pdb,-12.2,1.20E-09,-7.49111
BANAL-20-52-N_IL-6,BANAL-20-52-N,IL-6,./best_AF2_and_GDock/BANAL-20-52-N_IL-6_relaxed_model_2_multimer_v3_pred_1.pdb,-10.1,3.60E-08,-3.9467
OC43-N_XCL1,OC43-N,XCL1,./best_AF2_and_GDock/OC43-N_XCL1_relaxed_model_4_multimer_v3_pred_4.pdb,-18.4,3.10E-14,13.4354
SARS-CoV-2-WA1-N_TNFbeta,SARS-CoV-2-WA1-N,TNFbeta,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_TNFbeta_relaxed_model_2_multimer_v3_pred_1.pdb,-13.1,2.30E-10,6.30251
OC43-N_TNFalpha,OC43-N,TNFalpha,./best_AF2_and_GDock/OC43-N_TNFalpha_relaxed_model_3_multimer_v3_pred_4.pdb,-16.6,7.00E-13,-6.1735
SARS-CoV-2-B.1.351-N_CCL2,SARS-CoV-2-B.1.351-N,CCL2,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL2_relaxed_model_1_multimer_v3_pred_1.pdb,-9.4,1.40E-07,-12.69
SARS-CoV-2-B.1.351-N_CCL26,SARS-CoV-2-B.1.351-N,CCL26,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL26_relaxed_model_3_multimer_v3_pred_3.pdb,-10.6,1.60E-08,0.67703
SARS-CoV-2-BA.4-N_CXCL10,SARS-CoV-2-BA.4-N,CXCL10,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CXCL10_relaxed_model_3_multimer_v3_pred_0.pdb,-10.3,2.80E-08,-6.97588
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL1,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL1,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL1_relaxed_model_5_multimer_v3_pred_3.pdb,-10.3,2.60E-08,-0.54687
SARS-CoV-2-B.1.1.529-N_CCL13,SARS-CoV-2-B.1.1.529-N,CCL13,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL13_relaxed_model_4_multimer_v3_pred_4.pdb,-11.8,2.20E-09,-1.43356
SARS-CoV-2-B.1.1.7-N_CCL28,SARS-CoV-2-B.1.1.7-N,CCL28,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL28_relaxed_model_2_multimer_v3_pred_0.pdb,-14.7,1.50E-11,-5.67594
SARS-CoV-2-B.1.1-N_CXCL12alpha,SARS-CoV-2-B.1.1-N,CXCL12alpha,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL12alpha_relaxed_model_3_multimer_v3_pred_1.pdb,-8.5,5.90E-07,-3.51239
SARS-CoV-2-B.1.1-N_CXCL1,SARS-CoV-2-B.1.1-N,CXCL1,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL1_relaxed_model_3_multimer_v3_pred_2.pdb,-8.8,3.80E-07,-7.35691
RaTG13-N_IFNlambda1,RaTG13-N,IFNlambda1,./best_AF2_and_GDock/RaTG13-N_IFNlambda1_relaxed_model_2_multimer_v3_pred_0.pdb,-15.5,4.40E-12,-12.403
MERS-CoV-N_IL-18BP,MERS-CoV-N,IL-18BP,./best_AF2_and_GDock/MERS-CoV-N_IL-18BP_relaxed_model_4_multimer_v3_pred_0.pdb,-11.7,2.40E-09,-20.962
SARS-CoV-2-BQ.1-N_IL-12p70,SARS-CoV-2-BQ.1-N,IL-12p70,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_IL-12p70_relaxed_model_4_multimer_v3_pred_0.pdb,-28.1,2.40E-21,16.7919
OC43-N_CCL28,OC43-N,CCL28,./best_AF2_and_GDock/OC43-N_CCL28_relaxed_model_4_multimer_v3_pred_3.pdb,-14.7,1.70E-11,-24.4678
SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL16,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL16,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL16_relaxed_model_3_multimer_v3_pred_1.pdb,-18.8,1.60E-14,40.2468
SARS-CoV-2-P.1-N_CXCL5,SARS-CoV-2-P.1-N,CXCL5,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CXCL5_relaxed_model_3_multimer_v3_pred_3.pdb,-9.6,8.80E-08,-10.5105
SARS-CoV-2-BA.4-N_CCL4,SARS-CoV-2-BA.4-N,CCL4,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL4_relaxed_model_4_multimer_v3_pred_3.pdb,-13.2,2.10E-10,-18.1671
SARS-CoV-2-BA.4-N_CCL24,SARS-CoV-2-BA.4-N,CCL24,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL24_relaxed_model_4_multimer_v3_pred_3.pdb,-13.8,8.10E-11,-1.77045
RaTG13-N_CXCL14,RaTG13-N,CXCL14,./best_AF2_and_GDock/RaTG13-N_CXCL14_relaxed_model_3_multimer_v3_pred_4.pdb,-10.7,1.30E-08,1.02072
SARS-CoV-2-BA.2-N_CCL11,SARS-CoV-2-BA.2-N,CCL11,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL11_relaxed_model_4_multimer_v3_pred_4.pdb,-12.8,4.20E-10,-4.82313
SARS-CoV-2-BA.2-N_CCL4L1,SARS-CoV-2-BA.2-N,CCL4L1,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL4L1_relaxed_model_3_multimer_v3_pred_2.pdb,-15.5,4.20E-12,11.1746
SARS-CoV-2-P.1-N_CXCL1,SARS-CoV-2-P.1-N,CXCL1,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CXCL1_relaxed_model_2_multimer_v3_pred_3.pdb,-9.2,1.70E-07,-9.72917
SARS-CoV-2-BA.4-N_IL-13,SARS-CoV-2-BA.4-N,IL-13,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_IL-13_relaxed_model_3_multimer_v3_pred_2.pdb,-11.4,4.00E-09,4.82535
SARS-CoV-2-B.1.617.2-DeltaA-N_IFNomega,SARS-CoV-2-B.1.617.2-DeltaA-N,IFNomega,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IFNomega_relaxed_model_1_multimer_v3_pred_0.pdb,-16.1,1.70E-12,11.6349
SARS-CoV-2-B.1.1.7-N_CCL8,SARS-CoV-2-B.1.1.7-N,CCL8,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL8_relaxed_model_2_multimer_v3_pred_4.pdb,-9.3,1.60E-07,-1.27695
SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL9,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL9,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL9_relaxed_model_3_multimer_v3_pred_4.pdb,-10,4.50E-08,-1.62563
BANAL-20-52-N_CXCL2,BANAL-20-52-N,CXCL2,./best_AF2_and_GDock/BANAL-20-52-N_CXCL2_relaxed_model_1_multimer_v3_pred_1.pdb,-10.7,1.50E-08,-11.4925
SARS-CoV-2-XBB-N_XCL1,SARS-CoV-2-XBB-N,XCL1,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_XCL1_relaxed_model_3_multimer_v3_pred_4.pdb,-13.1,2.60E-10,-2.3041
SARS-CoV-2-BQ.1-N_CCL11,SARS-CoV-2-BQ.1-N,CCL11,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CCL11_relaxed_model_3_multimer_v3_pred_0.pdb,-13,3.10E-10,-3.74816
RaTG13-N_XCL1,RaTG13-N,XCL1,./best_AF2_and_GDock/RaTG13-N_XCL1_relaxed_model_3_multimer_v3_pred_0.pdb,-11.9,1.80E-09,3.49458
SARS-CoV-2-B.1.1.7-N_IL-1alpha,SARS-CoV-2-B.1.1.7-N,IL-1alpha,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_IL-1alpha_relaxed_model_3_multimer_v3_pred_3.pdb,-15.1,8.30E-12,-8.68561
MERS-CoV-N_CCL15,MERS-CoV-N,CCL15,./best_AF2_and_GDock/MERS-CoV-N_CCL15_relaxed_model_4_multimer_v3_pred_2.pdb,-10.8,1.10E-08,-15.5047
SARS-CoV-N_IL-12p70,SARS-CoV-N,IL-12p70,./best_AF2_and_GDock/SARS-CoV-N_IL-12p70_relaxed_model_4_multimer_v3_pred_2.pdb,-22.9,1.50E-17,-8.2831
SARS-CoV-2-BA.4-N_IL-35,SARS-CoV-2-BA.4-N,IL-35,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_IL-35_relaxed_model_1_multimer_v3_pred_2.pdb,-26.4,4.60E-20,-17.5707
SARS-CoV-N_CX3CL1,SARS-CoV-N,CX3CL1,./best_AF2_and_GDock/SARS-CoV-N_CX3CL1_relaxed_model_4_multimer_v3_pred_4.pdb,-16.9,3.80E-13,-8.29929
SARS-CoV-2-XBB-N_CCL23,SARS-CoV-2-XBB-N,CCL23,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CCL23_relaxed_model_4_multimer_v3_pred_2.pdb,-16.8,4.90E-13,-13.8264
SARS-CoV-N_CCL26,SARS-CoV-N,CCL26,./best_AF2_and_GDock/SARS-CoV-N_CCL26_relaxed_model_3_multimer_v3_pred_2.pdb,-10,4.80E-08,2.46891
